시간	No.	카테고리	문제 전문	정답 키워드	해설 및 암기 팁
3:05:05	571	전기설비	일반적으로 저압 가공 인입선이 도로 횡단하는 경우 노면상 시설 높이는?	5 m 이상	저압 가공 인입선이 도로 횡단 시 노면상 높이는 5 m 이상이다. (횡단보도 위 3 m, 철도 횡단 6.5 m)
3:05:22	572	전기설비	폭연성 분진이 존재하는 위험 장소에서 금속관 배선 시, 관 상호 간 나사 조임은 몇 턱 이상인가?	5턱 이상	폭연성 분진 위험 장소 금속관 배선 시 관 상호 간은 5턱 이상 나사 조임으로 접속한다. (파이브, 폭연성 분진)
3:05:33	573	전기설비	사람의 접촉 우려가 있는 합성 수지 몰드는 홈 폭 및 깊이가 몇 cm 이하로 하고, 두께는 몇 mm 이상의 것을 사용해야 하는가?	3.5 cm, 2 mm 이상	합성 수지 몰드의 홈 폭 및 깊이는 3.5 cm 이하, 두께는 2 mm 이상의 것을 사용한다.
3:05:49	574	전기설비	전기 배선용 도면을 작성할 때 콘센트의 도면 기호는?	1번 (플러그 꽂는 모양)	콘센트 도면 기호는 플러그를 꽂는 모양이다.
3:06:00	575	전기설비	개폐기가 아닌 것은? (ASS, LBS, LS, UPS 중)	UPS (무정전 전원 공급 장치)	**UPS (Uninterruptible Power Supply)**는 무정전 전원 공급 장치로 개폐기가 아니다. (ASS: 자동 고장 구분 개폐기, LBS: 부하 개폐기, LS: 선로 개폐기)
3:06:26	576	전기설비	전선 접속 시 사용되는 슬리브의 종류가 아닌 것은? (S, E, P, C형은 있으나)	D형 슬리브	전선 접속용 슬리브 종류는 $\text{S}_0, \text{E}_0, \text{P}_0, \text{C}$형 등이 있으며, D형 슬리브는 없다.
3:06:44	577	전기설비	조명 설계 시 고려해야 할 사항 중 틀린 것은? (휘도 대비가 높을 것)	휘도 대비가 높지 않을 것	조명 설계 시 눈부심 방지를 위해 대상물과 주위의 휘도 차이, 즉 휘도 대비가 높지 않도록 설계해야 한다.
3:07:05	578	전기설비	수변전 설비 중 동력 설비 회로의 역률 개선 목적으로 사용되는 것은?	진상용 콘덴서	동력 설비의 역률 개선을 목적으로 진상용 콘덴서를 사용한다.
3:07:18	579	전기설비	금속 전선관 종류에서 후강 전선관 규격이 아닌 것은? (보기에 19가 있다면)	19	후강 전선관 규격은 16, 22, 28, 36, 42, 54, ... mm 등이며 19 mm는 없다.
3:07:31	580	전기설비	300 V 기기 배선용 유연성 단심 비닐 절연 전선을 나타내는 약호는?	NFI	기기 배선용 (I), 유연성 (F), 단심 비닐 절연 연선 (N) → NFI이다.
3:07:58	581	전기설비	접지 저항 저감 대책이 아닌 것은? (접지판 면적을 감소시킨다)	접지판 면적 증가	접지 저항을 낮추려면 방전 면적을 넓혀야 하므로 접지판 면적을 증가시켜야 한다. (접지판 면적 감소는 틀린 대책)
3:08:21	582	전기설비	가공 전설로의 지지물에 시설하는 지선은 지표상 몇 cm까지 부분에 내식성 있는 것 또는 아연 도금을 한 철봉을 사용해야 하는가?	30 cm	지선은 지표로부터 30 cm까지 부분에 내식성 또는 아연 도금된 철봉을 사용해야 한다.
3:08:37	583	전기설비	저압 옥내 배선 시설 시 캡타이어 케이블을 조영제 아랫면 또는 옆면을 따라 붙이는 경우 전선의 지지점간 거리는 몇 m 이하로 해야 하는가?	1 m 이하	캡타이어 케이블을 조영제 아랫면/옆면을 따라 붙일 경우 지지점간 거리는 1 m 이하로 한다. (캡원)
3:08:52	584	전기설비	저압 크레인 또는 호이스트 등의 트롤리선을 사용 공사에 의해 노출 장소에 시설하는 경우 트롤리선의 바닥에서 최소 높이는 몇 m 이상으로 설치하는가?	3.5 m 이상	저압 크레인/호이스트 트롤리선을 노출 장소에 시설할 때 바닥에서 최소 높이는 3.5 m 이상이다. (트롤리선 3.5 m)
3:09:15	585	전기설비	관을 시설하고 제거하는 것이 자유롭고 점검 가능한 은폐 장소에서 가요 전선관을 구부리는 경우 곡률 반지름은 2종 가요 전선관 안지름의 몇 배 이상으로 하는가?	3배 이상	시설 및 제거가 자유로운 은폐 장소에서 2종 가요 전선관 곡률 반지름은 관 안지름의 3배 이상으로 한다. (3가요 자유 2종)
3:09:38	586	전기설비	자가용 전기 설비의 보호 계전기 종류가 아닌 것은? (과전류, 과전압, 부족 전압, 부족 전류 계전기 중)	부족 전류 계전기	과전류, 과전압, 부족 전압 계전기는 보호 목적으로 사용되나, 부족 전류 계전기는 주로 제어 목적으로 사용된다.
3:10:07	587	전기설비	불연성 먼지가 많은 곳에서 시설할 수 없는 옥내 배선 공사 방법은? (두께가 1.2 mm인 합성 수지관 공사)	두께 1.2 mm 합성 수지관 공사	불연성 먼지가 많은 곳에서 합성 수지관 공사 시 두께 2 mm 이상의 합성 수지관을 사용해야 한다. (1.2 mm는 부적당)
3:10:44	588	전기설비	펜치로 절단하기 힘든 굵은 전선의 절단에 사용되는 공구는?	클리퍼	굵은 전선의 절단에는 클리퍼를 사용한다.
3:10:49	589	전기설비	연선 결정에 있어서 중심 소선을 뺀 층수가 2층이다. 소선의 총수 N은 얼마인가?	19	연선의 총 소선 수 N은 N=3n(n+1)+1 (단, n: 중심 소선 뺀 층수) 공식으로 구한다. N=3×2×(2+1)+1=18+1=19 가닥.
3:11:27	590	전기설비	최대 사용 전압이 70 kV인 중성점 직접 접지식 전로의 절연 내력 시험 전압은 몇 V인가?	50,400 V	중성점 직접 접지식 전로의 절연 내력 시험 전압은 170 kV 이하일 때 사용 전압×0.72 배이다. 70 kV×0.72=50.4 kV=50,400 V. (170 kV 초과는 0.64배)
3:12:07	591	전기설비	교류 차단기에 포함되지 않는 것은? (GCB, VCB, ABB, HSBC 중)	HSBC (직류 고속 차단기)	GCB (가스), VCB (진공), ABB (공기)는 교류 차단기이나, **HSBC (High Speed Circuit Breaker)**는 직류 고속 차단기이다.
3:12:40	592	전기설비	옥내 배선 공사 작업 중 접속함에 쥐꼬리 접속을 할 때 필요한 것은?	와이어 커넥터	접속함 내 쥐꼬리 접속 시 와이어 커넥터를 사용한다.
3:12:49	593	전기설비	일반적으로 학교 건물이나 은행 건물 등의 간선의 수용률은 얼마인가?	70 %	학교 건물, 은행 건물 간선 수용률은 **70 %**이다. (주택, 기숙사, 병원 등은 50 %)
3:13:17	594	전기설비	사용 전압 15 kV 이하의 특고압 가공 전설로의 중성선의 접지선을 중성선으로부터 분리하였을 경우, 1 km마다 중성선과 대지 사이의 합성 전기 저항값은 몇 Ω 이하로 해야 하는가?	30 Ω 이하	15 kV 이하 특고압 가공 전설로에서 1 km마다 합성 전기 저항값은 30 Ω 이하이다. (각 접지점 대지 전기 저항값은 300 Ω 이하)
3:13:55	595	전기설비	저압의 전기 설비 (옥측의 것을 포함) 내염 공사에서 설명이 잘못된 것은? (2번: 계량기함 등은 금속제 사용할 것)	계량기함 등은 금속제 사용하지 말 것	내염 공사는 염분에 의한 부식을 방지하므로 철제류는 아연 도금 등을 하거나 금속제 사용을 피해야 한다. (금속제 사용할 것 틀림)
3:14:24	596	전기설비	상설 공연장에 사용하는 저압 전기 시설 중 이동 전선의 사용 전압은 몇 V 미만해야 하는가?	400 V 미만	공연장, 무대 등 사람이나 무대 도구 접촉 우려가 있는 곳의 저압 옥내 배선 또는 이동 전선 사용 전압은 400 V 미만으로 해야 한다.
3:14:43	597	전기설비	실내 전반 조명을 하고자 한다. 작업대로부터 광원의 높이가 2.4 m인 위치에 조명 기구를 배치할 때, 기구에서 기구간 거리 S는 최대 몇 m로 배치하는가? (단, S≤1.5H, H: 광원의 높이)	3.6 m	기구에서 기구간 거리 S의 최댓값은 S=1.5×H. S=1.5×2.4 m=3.6 m.
3:15:22	598	전기설비	일정값 이상의 전류가 흘렀을 때 동작하는 계전기는?	OCR (과전류 계전기)	일정값 이상 (Over)의 전류 (Current)가 흘렀을 때 동작하는 계전기는 **OCR (Over Current Relay, 과전류 계전기)**이다.
3:15:44	599	전기설비	철근 콘크리트 주의 완금 고정에 사용되는 밴드는?	암 밴드	철근 콘크리트 주에 완금 고정 시 **암 밴드 (Arm Band)**를 사용한다.
3:16:05	600	전기설비	해안 지방의 송전용 나전선에 가장 적당한 것은?	동선 (구리선)	해안 지방은 염분에 의한 부식이 심하므로 내식성이 좋은 동선이 적합하다. (온천 지역은 강심 알루미늄선)
3:16:23	601	전기기기	수변전 설비에서 차단기의 종류 중 가스 차단기에 들어가는 가스의 종류는?	6불화황 (SF6​)	가스 차단기 (GCB)에는 절연 성능이 우수한 6불화황 (SF6​) 가스가 사용된다.
3:17:46	602	전기기기	농형 유도 전동기의 기동법이 아닌 것은? (2차 저항 기동법)	2차 저항 기동법	농형 유도 전동기 기동법은 전전압, Y-Δ, 보상기, 리액터 (1차전압) 기동법 등이 있으며, 2차 저항 기동법은 권선형 유도 전동기의 기동법이다.
3:18:38	603	전기기기	실리콘 제어 정류기 (SCR)에 대한 설명으로 적합하지 않은 것은? (정방향 제어 특성 갖고 있다)	역방향 제어 특성	SCR은 역방향 제어 특성을 가진 단방향성 3단자 사이리스터이다. (정방향 제어 특성 틀림)
3:19:07	604	전기기기	유도 전동기의 회전자에 슬립 주파수 전압을 공급하여 속도를 제어하는 것은?	2차 여자법	권선형 유도 전동기에서 회전자에 슬립 주파수 전압을 공급하여 속도를 제어하는 방법을 2차 여자법이라고 한다.
3:19:24	605	전기기기	동기 전동기의 전기자 전류가 최소일 때 역률은 얼마인가?	1	동기 전동기의 V 곡선에서 전기자 전류가 최소인 지점은 역률이 1.0인 지점이다.
3:20:13	606	전기기기	단상 전파 정류 회로에서 교류 입력이 100 V이면 직류 출력은 약 몇 V인가?	90 V	단상 전파 정류 회로의 직류 출력 전압 $V_{dc}$는 교류 입력 전압 $V_{ac}$에 **0.9**를 곱한다. Vdc​=100 V×0.9=90 V.
3:20:31	607	전기기기	기동 토크가 대단히 작고 역률과 효율도 낮으며, 전축, 선풍기 등 수 W 이하의 소형 전동기에 널리 사용되는 단상 유도 전동기는?	쉐이딩 코일형	쉐이딩 코일형 유도 전동기는 기동 토크가 가장 작고 효율, 역률이 낮아 소형 용도에 사용된다. (단콘분쉐 순서)
3:21:12	608	전기기기	직류 전동기의 최저 절연 저항값 구하는 공식은?	1000+정격 출력 (kW)정격 전압 (V)​	직류 전동기 최저 절연 저항값은 **1000+정격 출력 (kW)정격 전압 (V)​**이다.
3:21:35	609	전기기기	농형 회전자에 비뚤어진 홈 (슬큐)을 쓰는 이유는?	소음 감소	농형 회전자에 비뚤어진 홈을 쓰는 것은 소음을 감소시키고 기동 토크를 향상시키기 위함이다.
3:21:40	610	전기기기	직류 전동기의 속도 제어 방법 중 속도 제어가 원활하고 정토크 제어가 되며 운전 효율이 좋은 것은?	전압 제어	직류 전동기 속도 제어 중 전압 제어 방식이 속도 제어가 원활하고 효율이 좋다.
3:22:03	611	전기기기	동기 전동기를 송전선의 전압 조정 및 역률 개선에 사용한 것을 무엇이라 하는가?	동기 조상기	송전선로의 전압 조정 및 역률 개선에 사용되는 동기 전동기를 동기 조상기라고 한다.
3:22:18	612	전기기기	변압기의 자속에 관한 설명으로 옳은 것은? (4번: 전압에 비례하고 주파수에는 반비례한다)	전압에 비례, 주파수에 반비례	변압기의 자속은 V∝ϕf 관계에 의해 ϕ∝fV​ 이므로 전압에 비례하고 주파수에는 반비례한다.
3:22:30	613	전기기기	직류 전동기 운전 중에 있는 기동 전환기에서 정전이 되거나 전원 전압이 저하되었을 때 핸들을 기동 위치에 두어 전압이 회복될 때 재기동할 수 있도록 역할을 하는 것은?	무전압 계전기	정전이나 전압 저하 시 재기동할 수 있도록 보호하는 계전기는 **무전압 계전기 (NVR)**이다.
3:22:49	614	전기기기	직류 전동기에 전기자의 가해지는 단자 전압을 변화하여 속도를 조정하는 제어 방법이 아닌 것은? (계자 제어)	계자 제어	단자 전압을 변화시켜 속도를 조정하는 제어 방법은 워드 레오나드, 일그너, 직병렬 제어 방식이 있으며, 계자 제어는 자속을 조절하는 방법이다.
3:23:17	615	전기기기	거리 계전기의 설명으로 틀린 것은? (3번: 154 kV 및 345 모선 보호에 사용)	모선 보호에는 비율 차동 계전기 사용	거리 계전기는 고장 지점까지의 임피던스(거리)를 판별하여 동작하며, 모선 보호에는 주로 비율 차동 계전기가 사용된다. (모선 보호에 거리 계전기 사용 틀림)
3:24:14	616	전기기기	턴오프 기능 (자기 소호) 소호가 가능한 소자는?	GTO	$\text{SCR}$의 단점을 보완하여 자기 소호 기능을 갖춘 소자는 **GTO (Gate Turn-Off Thyristor)**이다.
3:24:32	617	전기기기	3상 유도 전동기의 회전 원리를 설명한 것 중 틀린 것은? (회전자 속도가 증가하면 슬립은 증가한다)	회전자 속도와 슬립은 반비례	슬립 s=Ns​Ns​−N​ 이므로, 회전자 속도 N이 증가하면 슬립 s는 감소한다. (증가한다 틀림)
3:25:47	618	전기기기	직류 분권 발전기를 동일 극성의 전압을 단자에 인가하여 전동기로 사용한다면 회전 방향은?	동일 방향	직류 발전기와 전동기는 구조가 같으므로, 동일 극성의 전압을 인가하면 전류 방향만 반대가 되고 회전 방향은 동일 방향이다.
3:26:11	619	전기기기	변압기 절연물의 열화 정도를 파악하는 방법이 아닌 것은? (접지 저항 측정)	접지 저항 측정	변압기 절연물의 열화 정도는 유전 정접법, 유중 가스 분석, 흡수/잔류 전류 측정 (유유흡잔) 등으로 파악하며, 접지 저항 측정은 관련이 없다.
3:26:27	620	전기기기	복권 발전기의 병렬 운전을 안전하게 하기 위해서 두 발전기의 전기자와 직권 권선의 접촉점에 연결해야 하는 것은?	균압선	복권 발전기의 안전한 병렬 운전을 위해 전기자와 직권 권선 접촉점에 균압선을 연결한다.
3:26:52	621	전기기기	$\text{E}$종 절연물의 최고 허용 온도는 몇 $^\circ\text{C}$인가?	120∘C	$\text{E}$종 절연물의 최고 허용 온도는 $\mathbf{120\,^\circ\text{C}}$이다. ($\text{Y}: 90, \text{A}: 105, \text{E}: 120, \dots$)
3:27:16	622	전기기기	변압기 유의 열화 방지와 가장 거리가 먼 것은? (브리더, 컨서베이터, 부싱 중)	부싱	브리더(습기 흡수), 컨서베이터(공기 접촉 방지)는 열화 방지와 관련 있으나, 부싱은 절연 관통 부품으로 열화 방지와는 거리가 멀다.
3:27:43	623	전기기기	급정지하는 데 가장 좋은 제동법은?	역전 제동	**역전 제동 (플러깅 제동)**은 회전 방향을 바꿔 반대 토크를 일으켜 급정지하는 데 가장 좋다.
3:27:59	624	전기기기	8극 파권 직류 발전기에 전기자 권선의 병렬 회로수 A는 얼마인가?	2	파권은 극수와 관계없이 병렬 회로수 A는 항상 2이다. (A=2)
3:28:18	625	전기기기	3상 유도 전동기의 회전 방향을 바꾸기 위한 방법으로 가장 옳은 것은?	1차 권선 3개 단자 중 2개 단자 서로 바꿈	3상 유도 전동기의 회전 방향을 바꾸려면 1차 권선의 세 단자 중 임의의 두 단자의 접속을 서로 바꿔 주면 된다.
3:28:37	626	전기기기	직류를 교류로 변환하는 기기는?	인버터	직류를 교류로 변환하는 기기는 인버터이다. (직→교:인버터,교→직:컨버터)
3:28:49	627	전기기기	변압기의 원리와 관계 있는 것은?	전자 유도 작용	변압기는 전자 유도 작용을 이용하여 전압을 변성하는 기기이다.
3:29:07	628	전기기기	두 대의 동기 발전기가 병렬 운전하고 있을 때 동기화 전류가 흐르는 경우는?	기전력의 위상차가 있을 때	동기 발전기 병렬 운전 시 기전력의 위상차가 있으면 이를 없애기 위해 동기화 전류가 흐른다.
3:29:34	629	전기기기	3상 유도 전동기 슬립의 범위는?	0≤s≤1	3상 유도 전동기의 슬립 s의 범위는 0에서 1 사이이다.
3:29:39	630	전기기기	직류 발전기의 전기자의 구성 요소는?	전기자 권선, 전기자 철심	직류 발전기의 전기자는 전기자 권선과 전기자 철심으로 구성되어 있다. (권철)
3:29:45	631	전기기기	동기 조상기를 과여자 (앞선 여자)로 사용하면 무엇으로 작용하는가?	콘덴서	동기 조상기를 **과여자 (앞선 여자)**로 사용하면 콘덴서로 작용하여 진상 전류를 공급한다. (부족 여자 → 리액터)
3:30:22	632	전기기기	단상 전파 정류회로에서 직류 전압의 평균값은? (단, E는 교류 전압의 실효값)	0.9E	단상 전파: 0.9E, 단상 반파: 0.45E
3:30:48	633	전기기기	보극이 없는 직류기를 운전 중에 중성점의 위치가 변하지 않는 경우는?	무부하일 때	무부하 상태에서는 전기자 전류가 없어 전기자 반작용이 발생하지 않으므로 중성점 이동이 없다.
3:31:06	634	전기기기	삼상 동기기에 제동 권선을 설치하는 주된 목적은?	난조 방지	제동 권선 = 댐퍼 와인딩. 제동 권선 → 난조 방지
3:31:25	635	전기기기	동기 조상기를 부족 여자로 운전하면 어떻게 되는가?	리액터로 작용	부족 여자(뒤진 여자) → 리액터(L), 과여자(앞선 여자) → 콘덴서(C).
3:31:42	636	전기기기	변압기 내부 고장 보호에 쓰이는 계전기로 가장 적당한 것은?	차동 계전기	변압기 내부 고장 보호: 부비차 (부홀츠, 비율 차동, 차동 계전기)
3:32:07	637	전기기기	삼상 동기 발전기에 무부하 전압보다 90° 뒤진 전기자 전류가 흐를 때 전기자 반작용은?	감자 작용	발전기에서 뒤진(90∘ 지상) 전류는 감자 작용을 일으킨다. (뒤진 깜)
3:32:35	638	전기기기	전기자 전압을 전원 전압으로 일정하게 유지하고 계자 전류를 조정하여 자속(Φ)을 변화시킴으로써 속도를 제어하는 제어법은?	계자 제어법	계자 전류 조정 → 계자 제어법. (문제 속에 답이 있다)
3:32:49	639	전기기기	직류 분권 전동기와 직류 분권 발전기를 직렬로 연결하여 전동 발전기로 사용하고자 할 때, 계자 저항기의 저항은 각각 어떻게 조정하는 것이 적합한가?	전동기는 최소, 발전기는 최대	전소 발대 (전동기 최소, 발전기 최대)
3:33:21	640	전기기기	농형 유도 전동기의 기동법이 아닌 것은?	2차 저항기법	2차 저항기법은 권선형 유도 전동기의 기동법이다. 농형 기동법: 보리일 (보상기, 리액터, Y- Δ, 1차 저항)
3:33:38	641	전기기기	동기 발전기를 병렬 운전하는데 필요한 조건이 아닌 것은?	용량이 작을 것	주파크 위상이 같아야 하며, 용량은 병렬 운전 조건이 아니다.
3:33:59	642	전기기기	제어 정류기의 용도는?	교류를 직류로 변환	정류기 → 교류를 직류로 (교직 정류기, 교직 컨버터)
3:34:11	643	전기기기	단락비가 큰 동기 발전기를 설명하는 것으로 옳지 않은 것은?	전기자 반작용이 크다	단락비가 크면 전기자 반작용이 작다. (안정도가 높음)
3:35:33	644	전기기기	변압기의 여자 전류가 일그러지는(파형이 왜곡되는) 이유는?	자기 포화와 히스테리시스 현상	
3:35:57	645	전기기기	기동 토크가 가장 큰 단상 전동기는?	반발 기동형	기동 토크 순서: 반콘 분시 (반발, 콘덴서, 분상, 쉐이딩 코일형)
3:36:10	646	전기기기	직류 전동기의 제어에 널리 응용되는 직류-직류 전압 제어 장치는?	초퍼	직류-직류 전압 제어 → 찍찍 초퍼
3:36:20	647	전기기기	직류 전동기의 속도 제어에서 자속(Φ)을 2배로 하면 회전수는 어떻게 되는가?	$\frac{1}{2}$배로 줄어든다.	직류 전동기 회전수 N은 자속 Φ에 반비례한다. (N∝Φ1​)
3:36:33	648	전기기기	동기 전동기에 대한 설명으로 옳지 않은 것은?	속도 제어가 간단하다	동기 전동기는 난조 발생이 쉽고 속도 제어가 어렵다.
3:37:37	649	전기기기	다중 중권의 극수 P인 직류기에서 전기자 병렬 회로수 A는?	A=P	중권 → A=P (병렬 회로수 = 극수), 파권 → A=2
3:37:54	650	전기기기	삼상 유도 전동기에 공급 전압이 일정하고 주파수가 정격값보다 수% 감소할 때, 다음 현상 중 옳지 않은 것은?	누설 리액턴스가 증가한다	누설 리액턴스는 주파수에 비례하므로 주파수 감소 시 누설 리액턴스는 감소한다.
3:39:21	651	전기기기	동기 전동기에서 난조 방지를 위해서 자극면에 설치하는 권선은?	제동 권선	난조 방지 → 제동 권선
3:39:33	652	전기기기	변압기유로 쓰이는 절연유에 요구되는 성질이 아닌 것은?	점도가 클 것	절연유는 점도가 낮아야 냉각 효과가 좋다.
3:39:59	653	전기기기	교류 동기 서보모터에 비해 효율이 좋고 큰 토크를 발생시키며, 입력된 전기 신호에 따라 규정된 각도만큼 회전하는 전동기는? (회전자는 연구 자석, 50개의 톱니)	직류 스태핑 모터	50개 톱니의 특징을 가진다.
3:40:29	654	전기기기	직류 전동기의 회전 방향을 바꾸는 방법으로 옳은 것은?	전기자 권선에 흐르는 전류 방향을 반대로 바꾼다. (또는 계자 권선 전류 방향을 반대로)	전기자 전류 또는 계자 전류 중 어느 하나의 방향을 반대로 하면 회전 방향이 바뀐다.
3:40:49	655	전기기기	동기 전동기를 자기 기동법으로 기동시킬 때 계자 회로는 어떻게 해야 하는가?	저항을 통해서 단락시킨다.	고전압 유기를 방지하기 위해 단락시킨다.
3:41:07	656	전기기기	직류 복권 발전기를 병렬 운전할 때는 반드시 무엇이 필요한가?	균압선	직권, 복권 발전기는 병렬 운전 시 균압선이 필요하다.
3:41:27	657	전기기기	유도 전동기에 대한 설명으로 옳은 것은?	전동기의 슬립은 2차 동손을 2차 입력으로 나눈 것과 같다.	S=P2​Pc2​​ (2차 동손/2차 입력). 2차 효율 η2​=1−S (슬립이 크면 효율은 작아진다)
3:42:47	658	전기기기	동기 전동기의 특징으로 잘못된 것은?	영률을 조정하기 힘들다.	동기 전동기는 영률 조정이 가능하며 효율이 좋다.
3:43:17	659	전기기기	계자 권선이 전기자와 접속되어 있지 않은 직류기는?	타여자 기	여자 전류를 외부에서 공급받는 방식.
3:43:41	660	전기기기	용량이 작은 변압기의 단락 보호용으로 주보 방식으로 사용되는 계전기는?	과전류 계전 방식	용량 작은 변압기 단락 보호 → 과전류 계전 방식
3:44:04	661	전기기기	부홀츠 계전기의 설치 위치는?	변압기 본체와 콘서베이터 사이	변컨사이 (변압기 본체와 콘서베이터 사이)
3:44:57	662	전기기기	유도 전동기의 슬립을 측정하는 방법은?	스트로보법 (스트로버법)	슬립 측정 방법: 로보트 수화기 (로보트법, 스트로보법, 수화기법, DC 볼트미터법)
3:45:08	663	전기기기	다음 정류 방식 중에서 맥동 주파수가 가장 많고 맥동률이 가장 작은 정류 방식은?	삼상 전파식	삼상 전파식은 맥동률이 0.042(4.2%)로 가장 작다.
3:45:38	664	전기기기	단락비가 큰 동기 발전기를 설명하는 것으로 옳은 것은?	동기 임피던스가 작다	단락비가 크면 동기 임피던스, 전기자 반작용, 전압 변동률이 작다.
3:46:32	665	전기기기	직류 발전기의 정류를 개선하는 방법 중 틀린 것은?	접촉 저항이 작은 브러시를 사용한다	정류 개선에는 접촉 저항이 큰 브러시를 사용한다. (접촉 저항 대 브러시)
3:46:49	666	전기기기	직류 발전기 중 무부하 전압과 전부하 전압이 같도록 설계된 직류 발전기는?	평복권 발전기	무전평 (무부하 전압 = 전부하 전압 → 평복권)
3:47:06	667	전기기기	동기 발전기에 공극이 넓을 때 설명으로 잘못된 것은?	전압 변동률이 크다	공극이 넓으면 단락비가 크고, 전압 변동률이 작다. (안정도가 높음)
3:47:35	668	전기기기	동기 발전기의 병렬 운전 중에 기전력의 크기가 다를 경우 나타나는 현상이 아닌 것은?	동기화 전력이 흐른다.	동기화 전력은 위상차로 인해 발생한다. 크기 차이는 무효 순환 전류를 발생시킨다.
3:47:49	669	전기기기	반송 보호 계전 방식의 이점을 설명한 것으로 맞지 않는 것은?	장치가 간단하다.	반송 보호 계전 방식은 장치가 복잡하다. (고속도, 선택차단 확실)
3:48:10	670	전기기기	직류기에서 전기자 반작용을 방지하기 위한 보상 권선의 전류 방향은?	전기자 권선의 전류 방향과 반대 방향	
3:48:25	671	전기기기	단락비가 큰 동기기의 특징으로 옳은 것은?	안정도가 높다.	단락비가 크면 안정도가 높다.
3:48:42	672	전기기기	속도를 광범위하게 조정할 수 있으므로 압연기나 엘리베이터 등에 사용되는 직류 전동기는?	타여자 전동기	
3:48:59	673	전기기기	삼상 동기 전동기의 특징이 아닌 것은?	공극이 좁고 기계적으로 경고하다.	동기 전동기는 공극이 넓어 기계적으로 경고하다.
3:49:25	674	전기기기	동기 발전기의 병렬 운전 조건이 아닌 것은?	기전력의 용량이 같을 것	주파크 위상 같을 것, 용량은 조건이 아니다.
3:49:40	675	전기기기	유도 전동기에서 비례추이를 적용할 수 없는 것은?	부하	비례추이 가능: 역전 토크 (역률, 전류, 토크)
3:50:00	676	전기기기	유도 전동기의 원선도 작성 시 필요하지 않은 것은?	슬립 측정	원선도 작성 시험: 무구저 (무부하 시험, 구속 시험, 저항 측정)
3:50:14	677	전기기기	동기 전동기를 송전선의 전압 조정 및 역률 개선에 사용하는 것은?	동기 조상기	
3:50:27	678	전기기기	변압기의 원리와 가장 관계가 깊은 것은?	전자 유도 작용	
3:50:38	679	전기기기	자기 소호 제어용 소자는?	GTO (게이트 턴오프 사이리스터)	
3:50:45	680	전기기기	고장 시의 불평형 차전류가 평형 전류의 어떤 비율 이상으로 되었을 때 동작하는 계전기는?	비율 차동 계전기	비율 이상 → 비율 차동 계전기
3:51:03	681	전기기기	변압기 내부 고장 시 발생하는 기름의 흐름 변화를 검출하는 부홀츠 계전기의 설치 위치는?	변압기 본체와 컨서베이터를 연결하는 파이프	본컨파 (본체와 컨서베이터 연결 파이프)
3:51:17	682	전기기기	전압을 일정하게 유지하기 위해 이용되는 다이오드는?	제너 다이오드	정전압 유지 → 제너 다이오드
3:51:25	683	전기기기	단상 유도 전동기 기동 방법 중 기동 토크가 가장 큰 것은?	반발 기동형	기동 토크 순서: 반콘 분시
3:51:43	684	전기기기	직류기의 파권에서 극수의 관계없이 병렬 회로수 A는 얼마인가?	A=2	파권 → A=2 (극수 무관), 중권 → A=P
3:51:58	685	전기기기	변압기의 무부하 시험, 단락 시험에서 구할 수 없는 것은?	절연 내력	
3:52:15	686	전기기기	동기 발전기의 병렬 운전 중 기전력의 크기가 다를 경우 나타나는 현상이 아닌 것은?	동기화 전력이 흐른다.	크기 차이 시 무효 순환 전류가 흐르고, 동기화 전력은 위상차로 인해 발생한다.
3:52:37	687	전기기기	트랜지스터의 스위칭 작용에 의한 직류 전동기의 속도 제어 회로에서 사용한 제어법은?	전압 제어법	
3:52:59	688	전기기기	직류 발전기의 무부하 특성 곡선은 어느 것과의 관계인가?	계자 전류와 무부하 단자 전압	무계무 (무부하 특성 곡선 → 계자 전류와 무부하 단자 전압)
3:53:16	689	전기기기	계자 권선이 전기자의 병렬로만 접속된 직류기는?	분권기	병렬 → 분권기, 직렬 → 직권기
3:53:38	690	전기기기	동기 발전기의 병렬 운전에 필요한 조건이 아닌 것은?	영률	주파크 위상 같을 것, 영률은 조건이 아니다.
3:53:50	691	전기기기	특수 직류기가 아닌 것은?	고주파 발전기	고주파 발전기는 동기기이다.
3:54:25	692	전기기기	애벌런치 항복 전압은 온도 증가에 따라 어떻게 변화하나?	증가한다.	
3:54:39	693	전기기기	계자 권선이 전기자와 접속되어 있지 않은 직류기는?	타여자 기	
3:54:51	694	전기기기	대전류 고전압의 전기량을 제어할 수 있는 자기 소호형 소자는?	IGBT (절연 게이트 양극성 트랜지스터)	GTO, IGBT 등이 자기 소호형 소자이다.
3:55:10	695	전기기기	교류 전동기를 기동할 때 슬립과 토크의 특성이 그림과 같은 전동기는? (비례추이 특성)	삼상 권선형 유도 전동기	권선형 유도 전동기는 2차 저항을 이용한 비례추이 특성을 이용할 수 있다.
3:55:45	696	전기기기	삼상 유도 전동기의 회전 방향을 바꾸기 위한 방법으로 옳은 것은?	전동기 1차 권선에 있는 세 개 단자 중 두 개 단자를 서로 바꿔 준다.	
3:56:06	697	전기기기	동기 조상기의 계좌를 부족 여자로 운전하면?	리액터로 작용	부족 여자 → 리액터
